sample_id,reflectance_410,reflectance_440,reflectance_470,reflectance_510,reflectance_550,reflectance_590,reflectance_630,reflectance_680,reflectance_700,reflectance_850,reflectance_940,SOC_percent,clay_percent,sand_percent,pH,bulk_density
SYNTHETIC_OSSL_000000,0.15,0.13491030728395287,0.15,0.15,0.15,0.15,0.060008915088096165,0.15,0.4,0.34609769374685756,0.3436975146416778,2.9661004522188437,54.54299258614889,22.173275058019723,5.36588377109632,1.3229918263012967
SYNTHETIC_OSSL_000001,0.12308678494144078,0.12679458855616982,0.07223226164774801,0.1245867443685762,0.1252885844014397,0.15,0.15,0.09473777293753904,0.33815213755971213,0.3258909594002326,0.36797480873260596,2.248345547556787,59.69032076466326,72.71453135825979,6.983696556263401,1.1381263463841471
SYNTHETIC_OSSL_000002,0.15,0.15,0.15,0.07584565418634992,0.06352322009819535,0.10742661986348226,0.12396188407739434,0.10131883927111472,0.2114593915241022,0.4932916366333654,0.5,0.6052946428133487,31.782673404141246,25.950804718230444,8.926569643476508,1.0895299403289933
SYNTHETIC_OSSL_000003,0.15,0.15,0.0990380770919316,0.15,0.06056809337272437,0.15,0.11583681220223857,0.14331863783264617,0.39120313447882626,0.4263698715731302,0.4917899166724649,1.1398203995938772,44.388232602844795,73.72079627715189,9.530953367984388,1.4627663293912796
SYNTHETIC_OSSL_000004,0.1182923312638332,0.15,0.11362985968145238,0.12434115919545513,0.11286746093430329,0.03065043598571951,0.15,0.09536126583351985,0.34490071301811936,0.4279894499643169,0.49224582911984716,1.414380246900903,59.0409886912101,72.38332542711689,6.821193800862277,1.039011467363825
SYNTHETIC_OSSL_000005,0.11829315215254098,0.15,0.13238021334334588,0.103360619008788,0.050974011429943705,0.11493952764421418,0.10826656372878991,0.10942913470764712,0.362586113592389,0.4813629369324005,0.40138568832481114,1.0418999978122498,13.223330147003594,63.670598322044036,8.229143183418515,1.1968227445069883
SYNTHETIC_OSSL_000006,0.15,0.11912978838467929,0.12402544741367204,0.15,0.15,0.15,0.15,0.10528076994741263,0.3621880581872179,0.3166761941598297,0.42944186998745926,1.5305040521387798,8.101279189085144,46.420410241691485,6.150935853101097,1.2396385542995332
SYNTHETIC_OSSL_000007,0.15,0.13627024030695672,0.046194717925353235,0.15,0.1399086248500333,0.15,0.10538624062544621,0.11315247154828335,0.39964184529643854,0.5,0.32015623550553,2.113105095285433,57.143315038112135,76.46071513655218,7.628802294795857,1.2310481266792246
SYNTHETIC_OSSL_000008,0.1065262807032524,0.15,0.15,0.13615772400564524,0.13247596014667298,0.0832613667581664,0.1425139439587061,0.15,0.24596749045745658,0.47985241919875665,0.5,1.461293978046639,22.138978335986167,29.080818684771963,6.220676358483621,1.4268766839714289
SYNTHETIC_OSSL_000009,0.15,0.15,0.15,0.1002576080972403,0.0990318649204607,0.15,0.09029967952309363,0.12374137313864587,0.4,0.256266966898123,0.5,2.621048905868397,11.60558898857456,79.04225383086971,6.376687654530966,1.6175762389435682
SYNTHETIC_OSSL_000010,0.10682911535937689,0.11789850621185922,0.1226841753436935,0.11718051944859141,0.08275511900519815,0.07454018089019993,0.1127837034417707,0.15,0.2869498733497186,0.48463532422349576,0.5,0.9919703645959552,39.21868165187607,50.93056581292889,6.000082177941165,1.4658430227869854
SYNTHETIC_OSSL_000011,0.10671351232148715,0.13162752773936875,0.15,0.15,0.08336526299106792,0.15,0.15,0.15,0.25407121989195325,0.39267878641748244,0.42473143144124664,2.1941667334526533,44.83265894899032,67.63617701323415,5.730984982885272,1.6806676072404838
SYNTHETIC_OSSL_000012,0.1420981135783017,0.15,0.11011524193310124,0.11308497181771116,0.13884181387858482,0.15,0.15,0.15,0.20337333444410852,0.31559204768259363,0.32096492435180446,3.7355932189554437,17.38871992296325,19.29159565717014,7.581194837587201,1.240312156333137
SYNTHETIC_OSSL_000013,0.03433598776711011,0.15,0.0808901278127758,0.11768085977279695,0.14018591925099572,0.125813948935458,0.15,0.127029932299478,0.4,0.33393203908297486,0.5,0.622469539707053,48.555642994402184,59.59418056205416,8.045519219320523,1.6725140592857866
SYNTHETIC_OSSL_000014,0.04375410837434836,0.08789344291901131,0.13272065071002875,0.08999338547899317,0.11249069342496401,0.12401576427849471,0.15,0.15,0.363476932438781,0.5,0.445295251908866,1.1242309176810683,49.495627546473386,38.99221034590615,5.29504355791967,1.1430622468048506
SYNTHETIC_OSSL_000015,0.10188562353795137,0.14812956375234354,0.07155485707576398,0.15,0.061892153432130184,0.06054041461109917,0.12504735837077283,0.15,0.37599161711762963,0.4581366188021242,0.3151267594245364,1.4509288019388746,47.00325236656273,20.222026600301838,8.044214811128551,1.236908682203706
SYNTHETIC_OSSL_000016,0.07935844398327882,0.12960785787233442,0.15,0.10357610817013542,0.15,0.08610101217170502,0.06232180822372442,0.03255133926379872,0.334685624417576,0.4574992132807756,0.5,1.242783688813265,31.616942353672027,77.59216941150237,6.546707574077013,1.006288817565602
SYNTHETIC_OSSL_000017,0.1457123666297637,0.1267232075948146,0.09487186252801288,0.15,0.10510204902594314,0.15,0.15,0.15,0.34412662107038805,0.3906858341650059,0.4278595929546415,2.261419099176381,44.83502262784731,50.34975009583783,8.516358349117182,1.5498689285811564
SYNTHETIC_OSSL_000018,0.08459879622393945,0.15,0.04999845603835107,0.13141680844210812,0.1362604977310226,0.09053920532994927,0.10324466235308752,0.10157961774587075,0.24575218962778078,0.4818833098718623,0.5,0.9988262004372526,39.935011033663635,50.168893773098816,7.14893022552081,1.2108507422267694
SYNTHETIC_OSSL_000019,0.05938481493323543,0.1181230930053037,0.01,0.10215407742348417,0.1491194411545359,0.15,0.15,0.021278234512359565,0.3969299131271006,0.5,0.4033121150571295,1.356031200088589,52.675881631881715,55.8335179969086,4.107573162313082,1.693736282466328
SYNTHETIC_OSSL_000020,0.15,0.10122114483624392,0.1236471840567704,0.15,0.13624263371908613,0.15,0.1387304281106998,0.15,0.3189117864620709,0.5,0.36832932694154197,1.218720787859273,12.63172125363803,60.829502759818574,8.021467752269668,1.1331523936753745
SYNTHETIC_OSSL_000021,0.11871118497567322,0.0892504347815743,0.14603512448695738,0.13630610079033523,0.11003510933194441,0.04463101446097455,0.06870411454745884,0.1417993674840557,0.3055143716420739,0.3345407297778808,0.2902988811528944,2.1168077902260736,10.134101042081028,44.78674934779928,6.465737492640738,1.3445113062755278
SYNTHETIC_OSSL_000022,0.1333764102343962,0.12127265343971778,0.15,0.07109819498712759,0.15,0.15,0.10886352218616434,0.07928734021763227,0.3520177936792871,0.40327294369553124,0.45264864018412937,1.123897559523773,48.23163430706269,32.864016418784146,3.4321801361316764,1.0709821860920237
